Warhouse,Item Name,Barcode,Description,Expired Date,Category,Quantity,Item Unit,Reorder Level Stock,လက်လီစျေး,လက်ကားစျေး,ဝယ်စျေး,Parent ID
Shop,Be Nice Cherry Berry Purify Shower Cream 400ml,8851989080383,,,Non Food,,Pcs,5,7500,7200,6800,0
Shop,Be Nice Enchanted Shower Cream 400ml,8851989082394,,,Non Food,6,Pcs,5,7500,7200,6800,0
Shop,Be Nice Milk Pear Shower Cream 400ml,8851989082424,,,Non Food,8,Pcs,5,7500,7200,6800,0
Shop,Be Nice Glam Paris Shower Cream 400ml,8851989082325,,,Non Food,5,Pcs,5,7500,7200,6800,0
Shop,Be Nice Perfect Elastic Shower Cream 400ml,8851989080246,,,Non Food,3,Pcs,5,7500,7200,6800,0
Shop,Be Nice Love In The Air Shower Cream 400ml,8851989082318,,,Non Food,8,Pcs,5,7500,7200,6800,0
Shop,Be Nice Blossom Bloom Shower Cream 400ml,8851989082301,,,Non Food,8,Pcs,5,7500,7200,6800,0
Shop,Be Nice Peachy Peach Shwer Cream 400ml,8851989082110,,,Non Food,6,Pcs,5,7500,7200,6800,0
Shop,Be Nice Beautiful Whitening Shower Cream 400ml,8851989080239,,,Non Food,6,Pcs,5,7500,7200,6800,0
Shop,Be Nice Cherry Berry Purify Shower Cream 170ml,8851989080116,,,Non Food,,Pcs,5,3500,3200,3050,0
Shop,Be Nice Peachy Peach & Shea Butter Shower Cream 170ml,8851989082233,,,Non Food,7,Pcs,5,3500,3200,3050,0
Shop,Be Nice Mystic White Shower Cream 170ml,8851989081175,,,Non Food,2,Pcs,5,3500,3200,3050,0
Shop,Bulgarian Yogurt Whiting Milk Lotion 500ml,8855629000335,,,Non Food,,Pcs,5,8500,8000,7200,0
Shop,Bulgarian Yogurt Whiting Orange Lotion 500ml,8859178770428,,,Non Food,1,Pcs,5,8500,8000,7200,0
Shop,Bulgarian Yogurt Whiting Mixed Berry Lotion 500ml,8859178770442,,,Non Food,,Pcs,5,8500,8000,7200,0
Shop,Bella Glone White Fruit Serum Body Lotion 500ml,8834000134166,,,Non Food,10,Pcs,5,12500,12000,10900,0
Shop,Bella Glone White Yogurt Serum Body Lotion 500ml,8834000134197,,,Non Food,3,Pcs,5,12500,12000,10900,0
Shop,Dettol Refreshing Shower Gel 500ml,8850360025166,,,Non Food,15,Pcs,5,8800,8500,7800,0
Shop,Dettol Icy Crushed Shower Gel 500ml,8850360025739,,,Non Food,,Pcs,5,8800,8500,7800,0
Shop,Dettol Original Shower Gel 500ml,8850360025074,,,Non Food,16,Pcs,5,8800,8500,7800,0
Shop,Skin Solutions Body Care Shower Gel 330ml (All Color),8834000045516,,,Non Food,95,Pcs,5,2500,2300,2050,0
